date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:38:19	141/141	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jun%202020%2011:08:21%20GMT	https://yaletown.tech/robots.txt		(from )
15:38:19	6441/6441	---MCZ	200	added ('OK')	text/html	etag:W/%225e2ee2d6-1929%22	https://yaletown.tech/	C:/My%20Web%20Sites/yale/yaletown.tech/index.html	(from )
15:38:20	31000/31000	---M--	200	added ('OK')	text/css	etag:%225e2ee2d6-7918%22	https://yaletown.tech/vendor/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/yale/yaletown.tech/vendor/font-awesome/css/font-awesome.min.css	(from https://yaletown.tech/)
15:38:20	144877/144877	---M--	200	added ('OK')	text/css	etag:%225e2ee2d6-235ed%22	https://yaletown.tech/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/yale/yaletown.tech/vendor/bootstrap/css/bootstrap.min.css	(from https://yaletown.tech/)
15:38:21	5167/5167	---M--	200	added ('OK')	text/css	etag:%225e2ee2d6-142f%22	https://yaletown.tech/css/creative.min.css	C:/My%20Web%20Sites/yale/yaletown.tech/css/creative.min.css	(from https://yaletown.tech/)
15:38:22	86927/86927	---M--	200	added ('OK')	application/javascript	etag:%225e2ee2d6-1538f%22	https://yaletown.tech/vendor/jquery/jquery.min.js	C:/My%20Web%20Sites/yale/yaletown.tech/vendor/jquery/jquery.min.js	(from https://yaletown.tech/)
15:38:23	67742/67742	---M--	200	added ('OK')	application/javascript	etag:%225e2ee2d6-1089e%22	https://yaletown.tech/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/yale/yaletown.tech/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://yaletown.tech/)
15:38:23	2532/2532	---M--	200	added ('OK')	application/javascript	etag:%225e2ee2d6-9e4%22	https://yaletown.tech/vendor/jquery-easing/jquery.easing.min.js	C:/My%20Web%20Sites/yale/yaletown.tech/vendor/jquery-easing/jquery.easing.min.js	(from https://yaletown.tech/)
15:38:23	9053/9053	---M--	200	added ('OK')	application/javascript	etag:%225e2ee2d6-235d%22	https://yaletown.tech/vendor/scrollreveal/scrollreveal.min.js	C:/My%20Web%20Sites/yale/yaletown.tech/vendor/scrollreveal/scrollreveal.min.js	(from https://yaletown.tech/)
15:38:24	1134/1134	---M--	200	added ('OK')	application/javascript	etag:%225e2ee2d6-46e%22	https://yaletown.tech/js/creative.min.js	C:/My%20Web%20Sites/yale/yaletown.tech/js/creative.min.js	(from https://yaletown.tech/)
15:38:25	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225e2ee2d6-2876e%22	https://yaletown.tech/vendor/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/yale/yaletown.tech/vendor/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from https://yaletown.tech/vendor/font-awesome/css/font-awesome.min.css)
15:38:26	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225e2ee2d6-2876e%22	https://yaletown.tech/vendor/font-awesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/yale/yaletown.tech/vendor/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://yaletown.tech/vendor/font-awesome/css/font-awesome.min.css)
15:38:26	77160/77160	---M--	200	added ('OK')	application/octet-stream	etag:%225e2ee2d6-12d68%22	https://yaletown.tech/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/yale/yaletown.tech/vendor/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://yaletown.tech/vendor/font-awesome/css/font-awesome.min.css)
15:38:27	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%225e2ee2d6-17ee8%22	https://yaletown.tech/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/yale/yaletown.tech/vendor/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://yaletown.tech/vendor/font-awesome/css/font-awesome.min.css)
15:38:27	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%225e2ee2d6-286ac%22	https://yaletown.tech/vendor/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/yale/yaletown.tech/vendor/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://yaletown.tech/vendor/font-awesome/css/font-awesome.min.css)
15:38:28	126331/126331	---M--	200	added ('OK')	image/jpeg	etag:%225e2ee2d6-1ed7b%22	https://yaletown.tech/img/header.jpg	C:/My%20Web%20Sites/yale/yaletown.tech/img/header.jpg	(from https://yaletown.tech/css/creative.min.css)
15:38:29	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%225e2ee2d6-6c7db%22	https://yaletown.tech/vendor/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/yale/yaletown.tech/vendor/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from https://yaletown.tech/vendor/font-awesome/css/font-awesome.min.css)
